,city,state,gender,employment,owns_coffee_machine,owns_car,month,year,year_dob,beverage_preference,bought_coffee
57,West Chicago,IL,female,unempolyed,no,True,7,2018,1982,coffee,False
58,Wheaton,IL,female,retired,no,True,6,2018,1976,coffee,False
59,Bolingbrook,IL,female,part-time,yes,True,6,2018,1981,wine,False
60,Oswego,IL,male,part-time,yes,True,3,2018,1971,coffee,False
61,Streamwood,IL,male,unempolyed,no,True,9,2018,1990,beer,False
62,Warrenville,IL,female,full-time,yes,True,4,2018,1980,coffee,False
63,Carol Stream,IL,female,full-time,yes,True,10,2019,1984,wine,False
64,Palatine,IL,female,full-time,yes,True,5,2018,1973,wine,False
65,Mokena,IL,female,full-time,yes,True,5,2018,1970,coffee,False
66,St. Charles,IL,male,unempolyed,yes,True,3,2018,1976,coffee,False
67,Bolingbrook,IL,female,part-time,yes,True,5,2019,1979,coffee,False
68,Elgin,IL,female,full-time,no,True,1,2019,1988,coffee,False
69,Naperville,IL,female,full-time,yes,True,3,2019,1986,coffee,False
70,Streamwood,IL,male,unempolyed,yes,True,10,2019,1990,coffee,False
71,Deer Park,IL,female,student,no,True,6,2019,1990,wine,False
72,Algonquin,IL,male,unempolyed,no,True,1,2019,1994,soda,False
73,Streamwood,IL,female,full-time,no,True,8,2019,1987,coffee,False
74,Chicago,IL,male,part-time,no,False,12,2019,1988,coffee,False
75,Mokena,IL,male,unempolyed,yes,True,4,2019,1992,coffee,False
76,Aurora,IL,female,full-time,yes,True,12,2019,1987,tea,False
77,Streamwood,IL,female,full-time,yes,True,8,2019,1990,coffee,False
78,Inverness,IL,female,student,no,True,9,2019,1994,coffee,False
79,Willowbrook,IL,female,student,no,True,11,2019,1995,wine,False
80,West Chicago,IL,female,unempolyed,yes,True,10,2019,1985,coffee,False
81,Oswego,IL,female,full-time,no,True,6,2018,1979,tea,False
82,Willowbrook,IL,male,full-time,i don't know,True,8,2018,1975,beer,False
83,Palatine,IL,female,full-time,yes,True,5,2018,1976,coffee,False
84,Glen Ellyn,IL,male,unempolyed,yes,True,5,2019,1991,coffee,False
85,Plainfield,IL,male,full-time,yes,True,2,2019,1984,beer,False
86,Palatine,IL,female,student,yes,True,10,2019,1994,wine,True
87,Elgin,IL,male,part-time,yes,True,5,2019,1992,coffee,False
88,Wheaton,IL,female,unempolyed,yes,True,7,2018,1976,tea,False
89,Inverness,IL,female,full-time,yes,True,2,2018,1971,wine,False
90,Wheaton,IL,female,full-time,yes,False,4,2019,1986,coffee,False
91,Romeoville,IL,male,part-time,no,True,8,2018,1974,coffee,False
92,Oswego,IL,female,part-time,no,True,2,2018,1978,wine,False
93,Inverness,IL,male,part-time,yes,True,9,2019,1991,coffee,False
94,Mokena,IL,male,part-time,yes,True,8,2018,1979,coffee,False
95,Oswego,IL,male,part-time,yes,True,9,2019,1995,soda,False
96,Hoffman Estates,IL,female,full-time,yes,True,6,2019,1984,tea,True
97,Chicago,IL,male,student,no,True,11,2019,1991,coffee,False
98,Willowbrook,IL,male,full-time,yes,True,8,2019,1987,coffee,False
99,Carol Stream,IL,male,part-time,yes,True,5,2018,1979,beer,False
100,Streamwood,IL,female,full-time,yes,True,2,2018,1979,coffee,False
101,Romeoville,IL,female,unempolyed,yes,True,6,2019,1988,tea,False
102,Streamwood,IL,male,unempolyed,yes,False,4,2018,1978,beer,False
103,Elgin,IL,male,unempolyed,no,True,6,2018,1978,coffee,False
104,Algonquin,IL,male,student,i don't know,True,2,2019,1988,coffee,False
105,Palatine,IL,male,full-time,yes,True,1,2019,1980,coffee,False
106,Naperville,IL,female,full-time,no,True,4,2019,1991,coffee,False
107,Plainfield,IL,female,full-time,i don't know,True,3,2018,1973,coffee,False
109,Willowbrook,IL,male,retired,yes,False,1,2019,1988,coffee,False
110,Carol Stream,IL,female,retired,yes,True,1,2018,1979,wine,False
111,Barrington,IL,female,student,yes,True,3,2019,1995,coffee,False
112,Warrenville,IL,male,part-time,no,True,8,2018,1977,coffee,False
113,Bolingbrook,IL,female,full-time,no,False,11,2018,1978,coffee,False
114,Aurora,IL,female,student,no,False,9,2019,1988,coffee,False
115,Glen Ellyn,IL,female,student,no,True,6,2019,1986,coffee,False
116,Mokena,IL,male,full-time,i don't know,True,10,2018,1982,coffee,False
117,Willowbrook,IL,male,part-time,yes,True,5,2019,1986,soda,False
118,Carol Stream,IL,male,unempolyed,yes,False,11,2019,1994,soda,False
119,Bolingbrook,IL,male,student,no,True,9,2018,1985,beer,False
120,Streamwood,IL,female,part-time,no,True,7,2018,1976,wine,False
121,Willowbrook,IL,female,retired,no,True,9,2018,1982,soda,False
122,Hoffman Estates,IL,female,full-time,yes,True,3,2018,1977,coffee,False
123,Glen Ellyn,IL,female,part-time,yes,True,3,2018,1979,coffee,False
124,Elgin,IL,female,unempolyed,no,True,10,2019,1989,coffee,False
125,Romeoville,IL,female,unempolyed,no,True,7,2019,1985,coffee,False
126,Schaumburg,IL,male,unempolyed,yes,True,12,2019,1992,coffee,False
127,Hoffman Estates,IL,female,student,no,True,10,2019,1985,tea,True
128,Streamwood,IL,female,part-time,yes,True,9,2019,1992,tea,False
129,Hoffman Estates,IL,female,full-time,no,True,7,2018,1981,tea,False
130,Elgin,IL,female,student,yes,True,10,2019,1985,tea,False
131,Minooka,IL,male,unempolyed,yes,True,9,2019,1989,coffee,False
132,Minooka,IL,female,full-time,yes,True,2,2018,1975,tea,False
133,Chicago,IL,male,full-time,yes,False,9,2018,1982,beer,False
134,Aurora,IL,female,full-time,i don't know,True,11,2019,1984,tea,False
135,St. Charles,IL,female,full-time,i don't know,True,3,2019,1986,tea,False
136,Plainfield,IL,female,full-time,no,True,11,2019,1988,coffee,False
137,Algonquin,IL,male,unempolyed,yes,True,1,2019,1989,coffee,False
138,Aurora,IL,male,full-time,yes,True,9,2018,1974,coffee,False
139,Aurora,IL,female,unempolyed,no,True,7,2018,1979,wine,False
140,Wheaton,IL,female,unempolyed,yes,True,4,2018,1983,tea,False
141,Algonquin,IL,male,full-time,yes,True,5,2019,1983,coffee,False
142,West Dundee,IL,female,unempolyed,yes,True,5,2018,1982,tea,False
143,Romeoville,IL,female,full-time,yes,True,9,2018,1981,coffee,False
144,Oswego,IL,female,student,no,True,10,2019,1996,coffee,False
145,Barrington,IL,male,full-time,yes,True,10,2018,1972,beer,False
146,Carol Stream,IL,male,full-time,yes,True,4,2018,1989,beer,False
147,St. Charles,IL,female,full-time,yes,True,11,2018,1964,coffee,False
148,Wheaton,IL,female,full-time,yes,True,5,2018,1969,coffee,False
149,Carol Stream,IL,male,full-time,yes,True,10,2018,1991,soda,False
150,Naperville,IL,female,student,yes,True,5,2019,1989,coffee,False
151,Glen Ellyn,IL,female,part-time,no,True,3,2018,1979,wine,False
152,Warrenville,IL,male,full-time,yes,True,11,2018,1966,soda,False
153,West Dundee,IL,male,retired,yes,True,6,2019,1988,soda,False
154,Palatine,IL,male,full-time,yes,True,1,2018,1984,beer,False
155,Elgin,IL,male,student,i don't know,True,3,2019,1991,coffee,False
156,Willowbrook,IL,male,unempolyed,no,True,12,2019,1988,beer,False
158,Aurora,IL,female,part-time,yes,True,7,2019,1986,coffee,False
159,Hoffman Estates,IL,male,student,yes,True,7,2019,1984,beer,False
160,Glen Ellyn,IL,female,full-time,yes,True,4,2019,1988,coffee,False
161,Naperville,IL,female,full-time,no,True,4,2018,1974,coffee,False
162,Carol Stream,IL,male,unempolyed,no,True,11,2019,1993,wine,False
163,Warrenville,IL,male,full-time,yes,True,10,2018,1981,soda,False
164,Carol Stream,IL,female,part-time,yes,True,10,2018,1983,wine,True
165,Algonquin,IL,male,retired,no,True,11,2018,1973,coffee,False
166,Wheaton,IL,female,full-time,yes,True,5,2018,1974,tea,False
167,West Chicago,IL,male,unempolyed,yes,False,12,2019,1994,coffee,False
168,West Chicago,IL,female,full-time,no,True,6,2019,1984,wine,True
169,Romeoville,IL,female,full-time,yes,True,8,2019,1983,wine,False
170,Barrington,IL,female,student,no,True,5,2019,1996,wine,False
171,Palatine,IL,male,part-time,no,True,9,2019,1990,soda,False
172,Batavia,IL,female,full-time,no,False,4,2018,1981,wine,False
173,Glen Ellyn,IL,male,full-time,no,False,8,2018,1984,beer,False
174,Naperville,IL,male,full-time,yes,True,7,2019,1988,wine,False
175,Willowbrook,IL,female,part-time,no,True,7,2018,1970,soda,False
176,Deer Park,IL,male,full-time,yes,True,3,2018,1974,coffee,False
177,Algonquin,IL,female,retired,yes,True,6,2018,1977,coffee,False
178,Algonquin,IL,male,student,yes,True,6,2019,1985,coffee,False
179,Romeoville,IL,male,part-time,yes,True,9,2019,1987,coffee,False
180,Schaumburg,IL,male,full-time,no,True,8,2018,1979,coffee,False
181,Carol Stream,IL,female,unempolyed,yes,True,11,2019,1990,soda,False
182,Warrenville,IL,female,unempolyed,no,True,7,2019,1986,wine,False
183,Romeoville,IL,female,unempolyed,yes,True,2,2019,1990,wine,False
184,Barrington,IL,female,full-time,yes,True,4,2019,1991,coffee,False
185,St. Charles,IL,female,part-time,yes,True,5,2018,1973,tea,False
186,Hoffman Estates,IL,male,part-time,yes,True,9,2018,1980,coffee,False
187,Streamwood,IL,male,student,yes,False,8,2019,1988,tea,False
188,St. Charles,IL,male,full-time,no,True,5,2019,1981,beer,False
189,Carol Stream,IL,male,full-time,i don't know,True,11,2018,1984,coffee,False
190,Wheaton,IL,female,student,yes,True,7,2019,1989,tea,False
191,Warrenville,IL,male,full-time,no,True,2,2019,1987,coffee,False
192,Streamwood,IL,male,unempolyed,yes,True,9,2018,1980,coffee,False
193,St. Charles,IL,female,part-time,yes,True,12,2019,1984,coffee,True
194,Plainfield,IL,male,full-time,no,True,7,2019,1988,soda,False
195,Plainfield,IL,female,unempolyed,no,True,4,2018,1973,wine,False
196,Plainfield,IL,female,part-time,i don't know,True,5,2019,1985,tea,False
197,Romeoville,IL,male,part-time,yes,True,10,2019,1986,coffee,False
198,Wheaton,IL,male,unempolyed,yes,False,1,2018,1975,coffee,False
199,Elgin,IL,female,full-time,yes,True,3,2018,1978,beer,False
200,Romeoville,IL,female,part-time,no,True,5,2019,1982,wine,False
201,West Chicago,IL,female,full-time,no,True,11,2019,1985,tea,False
202,Naperville,IL,female,unempolyed,yes,True,4,2018,1983,wine,True
203,Carol Stream,IL,female,part-time,no,True,6,2018,1977,soda,False
204,Streamwood,IL,male,unempolyed,yes,True,6,2019,1992,coffee,True
205,Streamwood,IL,female,full-time,no,True,6,2018,1980,coffee,False
206,Algonquin,IL,male,retired,yes,True,9,2018,1976,beer,False
207,Schaumburg,IL,male,unempolyed,no,True,11,2019,1988,beer,False
208,West Chicago,IL,female,unempolyed,yes,False,3,2018,1979,tea,False
209,Mokena,IL,female,part-time,yes,True,8,2019,1986,coffee,False
210,St. Charles,IL,male,unempolyed,yes,True,9,2019,2000,tea,False
211,Batavia,IL,female,part-time,no,True,8,2018,1966,tea,False
212,Elgin,IL,female,unempolyed,yes,True,9,2019,1988,soda,False
213,West Dundee,IL,female,unempolyed,no,True,1,2018,1977,coffee,False
214,Mokena,IL,male,full-time,yes,True,8,2018,1976,tea,False
215,Warrenville,IL,female,part-time,yes,True,9,2019,1991,tea,False
216,West Chicago,IL,female,unempolyed,yes,True,3,2018,1981,tea,False
217,Plainfield,IL,female,full-time,yes,True,9,2018,1982,coffee,False
218,Elgin,IL,female,full-time,i don't know,False,4,2018,1984,coffee,False
219,Algonquin,IL,male,full-time,yes,True,8,2018,1977,soda,False
220,Romeoville,IL,male,full-time,no,True,12,2018,1977,soda,False
221,Schaumburg,IL,male,unempolyed,no,True,7,2019,1992,coffee,False
222,Bolingbrook,IL,female,unempolyed,no,True,2,2019,1992,coffee,False
223,West Dundee,IL,female,full-time,yes,True,10,2018,1981,wine,False
224,Willowbrook,IL,female,full-time,no,True,9,2019,1987,tea,False
225,Carol Stream,IL,female,student,no,True,9,2018,1982,coffee,True
226,Naperville,IL,male,unempolyed,no,True,10,2018,1993,beer,False
227,Barrington,IL,female,full-time,no,True,6,2018,1988,tea,False
228,Elgin,IL,male,part-time,no,True,7,2018,1978,soda,False
229,Glen Ellyn,IL,male,unempolyed,yes,True,5,2018,1977,beer,False
230,Algonquin,IL,male,full-time,yes,True,7,2018,1970,beer,False
231,Romeoville,IL,male,full-time,no,True,10,2018,1987,soda,False
232,Bolingbrook,IL,male,retired,i don't know,True,8,2018,1973,coffee,False
233,Romeoville,IL,male,unempolyed,yes,True,4,2019,1978,beer,False
234,Mokena,IL,female,unempolyed,no,True,1,2018,1965,wine,False
235,St. Charles,IL,female,full-time,yes,True,7,2019,1990,wine,False
236,Bolingbrook,IL,female,part-time,no,True,7,2018,1975,coffee,False
237,Deer Park,IL,female,student,no,True,11,2019,1992,coffee,True
238,Barrington,IL,female,part-time,yes,True,8,2018,1979,coffee,False
239,Romeoville,IL,male,part-time,i don't know,True,5,2019,1989,coffee,False
240,Hoffman Estates,IL,female,full-time,no,True,9,2019,1990,wine,False
241,Algonquin,IL,male,unempolyed,yes,True,6,2019,1988,beer,False
242,Wheaton,IL,female,unempolyed,yes,True,1,2019,1990,coffee,False
243,Romeoville,IL,male,full-time,yes,True,11,2019,1988,coffee,False
244,St. Charles,IL,male,full-time,yes,True,4,2018,1980,coffee,False
245,Chicago,IL,male,full-time,no,False,4,2019,1982,beer,False
246,Palatine,IL,female,full-time,i don't know,True,7,2019,1986,coffee,False
247,Algonquin,IL,male,full-time,i don't know,True,6,2019,1988,coffee,False
248,Bolingbrook,IL,female,unempolyed,yes,True,7,2018,1981,wine,False
249,St. Charles,IL,female,unempolyed,yes,True,10,2019,1988,tea,False
250,Plainfield,IL,male,full-time,yes,True,6,2019,1992,coffee,False
251,Schaumburg,IL,male,part-time,no,True,7,2018,1983,coffee,False
252,Chicago,IL,female,part-time,yes,False,9,2019,1991,coffee,False
253,Carol Stream,IL,female,full-time,yes,True,5,2019,1981,coffee,False
254,Minooka,IL,male,retired,yes,False,7,2018,1982,coffee,False
255,Glen Ellyn,IL,female,full-time,no,True,11,2019,1986,tea,False
256,Bolingbrook,IL,male,part-time,no,True,6,2019,1985,beer,False
257,Plainfield,IL,female,part-time,yes,True,2,2019,1989,wine,False
258,Batavia,IL,male,unempolyed,no,True,2,2019,1979,coffee,False
259,Barrington,IL,female,student,no,True,4,2019,1994,coffee,False
260,Minooka,IL,male,full-time,yes,False,5,2019,1987,beer,False
261,Naperville,IL,male,part-time,yes,True,1,2018,1971,beer,False
262,Barrington,IL,female,part-time,yes,True,8,2019,1994,coffee,False
263,St. Charles,IL,female,retired,yes,True,1,2018,1981,tea,False
264,Palatine,IL,female,full-time,yes,False,6,2018,1983,tea,False
265,West Dundee,IL,male,full-time,yes,True,3,2019,1985,beer,False
266,Bolingbrook,IL,male,full-time,no,True,1,2019,1986,tea,False
267,Minooka,IL,male,part-time,yes,True,2,2019,1982,soda,False
268,Streamwood,IL,male,part-time,yes,True,1,2018,1971,coffee,False
269,Batavia,IL,female,retired,i don't know,True,5,2018,1977,wine,False
270,Bolingbrook,IL,female,full-time,yes,True,3,2019,1986,coffee,False
271,Willowbrook,IL,female,full-time,yes,True,2,2018,1979,beer,False
272,Romeoville,IL,male,unempolyed,yes,True,10,2018,1983,coffee,False
273,Naperville,IL,male,full-time,no,True,7,2018,1982,coffee,False
274,Barrington,IL,male,unempolyed,yes,True,11,2018,1981,coffee,False
275,Bolingbrook,IL,male,student,yes,True,5,2019,1987,beer,False
276,Palatine,IL,male,unempolyed,no,True,5,2018,1986,soda,False
277,Minooka,IL,male,full-time,no,True,7,2019,1988,coffee,False
278,Romeoville,IL,male,full-time,yes,True,2,2018,1980,tea,False
279,Chicago,IL,male,unempolyed,yes,True,5,2018,1977,coffee,False
280,Algonquin,IL,male,full-time,yes,True,9,2019,1983,coffee,False
281,Wheaton,IL,female,unempolyed,no,True,7,2019,1988,coffee,False
282,Romeoville,IL,female,student,no,True,6,2019,1982,soda,False
283,Warrenville,IL,male,full-time,yes,True,2,2019,1990,tea,False
284,Romeoville,IL,female,full-time,yes,True,10,2019,1984,soda,False
285,Barrington,IL,female,unempolyed,no,True,7,2018,1981,soda,False
286,Aurora,IL,female,part-time,no,True,6,2019,1999,tea,False
287,Barrington,IL,female,full-time,no,True,10,2019,1988,coffee,False
288,Inverness,IL,male,unempolyed,yes,True,12,2018,1976,beer,False
289,Batavia,IL,female,unempolyed,no,True,6,2019,1997,beer,False
290,Elgin,IL,male,student,no,True,4,2019,1990,coffee,False
291,Bolingbrook,IL,female,full-time,yes,False,8,2019,1983,coffee,False
292,Oswego,IL,female,student,yes,False,12,2019,2000,tea,True
293,West Dundee,IL,female,full-time,yes,True,9,2018,1976,soda,True
294,Inverness,IL,female,full-time,yes,True,1,2019,1988,wine,False
295,West Chicago,IL,male,full-time,yes,True,2,2018,1982,beer,False
296,Minooka,IL,male,full-time,yes,True,8,2018,1977,coffee,False
297,Minooka,IL,female,retired,yes,True,3,2018,1979,coffee,False
298,Naperville,IL,female,part-time,yes,False,4,2018,1983,coffee,False
299,Palatine,IL,female,student,no,True,9,2019,1995,coffee,True
300,Algonquin,IL,male,student,yes,True,7,2018,1984,coffee,False
301,Elgin,IL,male,full-time,yes,True,3,2019,1989,coffee,False
302,Warrenville,IL,male,part-time,yes,True,10,2018,1977,tea,False
303,West Chicago,IL,male,student,yes,True,12,2019,1985,tea,False
304,Willowbrook,IL,male,full-time,yes,True,9,2018,1970,beer,False
305,Romeoville,IL,male,unempolyed,yes,True,5,2019,1986,coffee,False
306,Oswego,IL,female,full-time,i don't know,True,8,2019,1992,coffee,False
307,Inverness,IL,male,retired,yes,True,12,2018,1986,coffee,False
308,Oswego,IL,female,full-time,no,True,3,2018,1980,coffee,False
309,Willowbrook,IL,female,full-time,no,True,9,2018,1974,tea,False
310,Aurora,IL,female,full-time,yes,True,9,2019,1982,soda,False
311,Barrington,IL,female,student,yes,True,10,2019,1989,wine,False
312,Bolingbrook,IL,male,part-time,no,True,8,2018,1988,coffee,False
313,Chicago,IL,male,full-time,yes,True,11,2019,1991,coffee,False
314,Deer Park,IL,female,unempolyed,yes,True,8,2018,1972,soda,False
315,Hoffman Estates,IL,female,unempolyed,yes,True,3,2018,1978,coffee,False
316,West Chicago,IL,male,full-time,no,True,10,2018,1978,tea,False
317,Schaumburg,IL,male,part-time,yes,True,11,2018,1985,coffee,False
318,Oswego,IL,female,student,no,True,6,2019,1988,coffee,False
319,Batavia,IL,male,unempolyed,yes,True,5,2018,1984,coffee,False
320,West Chicago,IL,male,full-time,yes,True,12,2018,1975,beer,False
321,Glen Ellyn,IL,female,full-time,yes,True,11,2018,1979,coffee,False
322,St. Charles,IL,male,full-time,yes,False,3,2018,1980,coffee,False
323,West Chicago,IL,female,unempolyed,yes,True,12,2019,1986,wine,False
324,Chicago,IL,female,full-time,yes,False,9,2019,1987,coffee,False
325,Glen Ellyn,IL,female,student,yes,False,8,2019,1994,wine,False
326,Oswego,IL,female,unempolyed,yes,True,8,2019,1985,tea,True
327,Hoffman Estates,IL,male,full-time,yes,True,8,2019,1988,wine,False
328,Elgin,IL,female,full-time,i don't know,True,4,2018,1977,wine,False
329,Inverness,IL,female,full-time,yes,True,1,2018,1977,coffee,False
330,Oswego,IL,female,full-time,no,True,5,2018,1975,wine,False
331,Wheaton,IL,male,unempolyed,yes,False,7,2019,1992,beer,False
332,Minooka,IL,female,full-time,i don't know,True,4,2019,1991,tea,False
333,Plainfield,IL,female,full-time,no,True,8,2019,1991,coffee,False
334,Minooka,IL,female,full-time,no,True,4,2018,1976,coffee,False
335,Minooka,IL,female,full-time,no,True,5,2018,1976,coffee,False
336,St. Charles,IL,female,unempolyed,yes,True,3,2019,1985,wine,False
337,West Chicago,IL,male,retired,yes,True,8,2018,1978,coffee,False
338,Algonquin,IL,female,full-time,yes,True,5,2019,1988,coffee,False
339,Aurora,IL,female,full-time,yes,True,10,2018,1987,coffee,False
340,Bolingbrook,IL,male,full-time,yes,True,7,2019,1993,beer,False
341,Elgin,IL,male,retired,yes,True,1,2019,1983,coffee,False
342,Deer Park,IL,female,part-time,no,True,7,2018,1974,wine,False
343,Hoffman Estates,IL,male,student,i don't know,True,5,2019,1991,coffee,False
344,St. Charles,IL,female,unempolyed,no,True,3,2018,1971,tea,False
345,Hoffman Estates,IL,male,unempolyed,yes,True,9,2018,1973,beer,False
346,Elgin,IL,female,full-time,no,True,5,2018,1972,wine,False
347,Romeoville,IL,female,unempolyed,yes,True,2,2019,1991,tea,False
348,Minooka,IL,male,retired,no,True,7,2018,1976,coffee,False
349,Elgin,IL,female,full-time,yes,True,5,2018,1982,tea,False
350,Bolingbrook,IL,male,unempolyed,yes,True,4,2019,1983,beer,False
351,Schaumburg,IL,female,part-time,yes,True,7,2019,1984,coffee,True
352,Barrington,IL,male,student,yes,True,10,2018,1986,coffee,False
353,Warrenville,IL,male,full-time,yes,True,4,2018,1973,beer,False
354,Naperville,IL,female,retired,no,True,9,2019,1995,coffee,False
355,Minooka,IL,female,student,yes,True,5,2019,1997,wine,False
356,Plainfield,IL,female,unempolyed,yes,True,6,2018,1986,wine,False
357,St. Charles,IL,female,part-time,yes,True,7,2018,1984,coffee,False
358,West Chicago,IL,female,part-time,yes,False,5,2018,1977,coffee,False
359,Algonquin,IL,male,retired,yes,True,1,2019,1994,beer,False
360,Inverness,IL,female,part-time,yes,True,11,2019,1991,tea,True
361,Streamwood,IL,male,retired,yes,True,8,2018,1978,coffee,False
362,Inverness,IL,male,full-time,yes,True,12,2018,1978,coffee,False
363,Deer Park,IL,female,unempolyed,no,True,4,2018,1978,tea,False
364,Barrington,IL,male,unempolyed,no,True,12,2019,1994,coffee,False
365,Willowbrook,IL,female,full-time,yes,True,5,2018,1977,coffee,False
366,Mokena,IL,female,full-time,no,True,1,2018,1974,coffee,False
367,Palatine,IL,male,full-time,no,True,3,2018,1981,coffee,False
368,Inverness,IL,female,full-time,no,True,5,2018,1986,tea,False
369,Barrington,IL,female,unempolyed,no,True,6,2019,1993,coffee,False
370,Batavia,IL,female,full-time,i don't know,True,4,2019,1990,soda,False
371,Streamwood,IL,female,full-time,yes,True,7,2018,1979,tea,False
372,Glen Ellyn,IL,male,full-time,yes,True,10,2019,1986,tea,False
373,Minooka,IL,male,student,yes,True,3,2019,1986,coffee,False
374,Minooka,IL,male,unempolyed,yes,False,7,2019,1990,coffee,False
375,Romeoville,IL,female,student,no,True,3,2019,1994,coffee,False
376,Hoffman Estates,IL,female,full-time,yes,True,4,2019,1988,coffee,False
377,Naperville,IL,female,full-time,no,True,7,2018,1977,coffee,False
378,Hoffman Estates,IL,female,full-time,yes,False,1,2019,1990,coffee,False
379,Batavia,IL,female,retired,yes,False,11,2018,1974,tea,False
380,Willowbrook,IL,male,full-time,yes,True,9,2018,1977,beer,False
381,Minooka,IL,female,student,yes,True,6,2019,1986,wine,False
382,Chicago,IL,female,unempolyed,yes,False,9,2018,1976,coffee,False
383,Schaumburg,IL,female,full-time,yes,False,3,2019,1984,coffee,False
384,Aurora,IL,female,student,yes,False,9,2019,1988,coffee,False
385,Minooka,IL,female,unempolyed,yes,True,10,2018,1983,coffee,False
386,Batavia,IL,female,full-time,yes,True,4,2018,1981,coffee,False
387,Schaumburg,IL,female,full-time,yes,False,12,2019,1985,coffee,False
388,Wheaton,IL,male,unempolyed,yes,True,3,2019,1992,coffee,False
389,West Chicago,IL,male,student,no,True,2,2019,1994,coffee,False
390,Romeoville,IL,male,full-time,no,True,9,2018,1977,coffee,False
391,St. Charles,IL,male,part-time,yes,True,4,2018,1978,beer,False
392,Aurora,IL,female,part-time,yes,True,4,2018,1973,coffee,False
393,Inverness,IL,female,full-time,yes,True,6,2018,1974,wine,False
